日期,平均温,最低温,最高温,prcp,wspd,wdir,pres,空气质量指数
2024-04-23,14.3,9.7,23.6,1.0,8.0,10.0,1010.6,7.92
2024-04-24,15.4,10.9,19.9,0.0,11.9,226.0,1004.7,11.84
2024-04-25,17.5,13.0,23.0,0.0,15.9,263.0,1001.4,15.88
2024-04-26,14.2,11.0,22.7,1.0,5.9,33.0,1007.1,5.86
2024-04-27,11.6,9.0,19.8,0.0,6.9,309.0,1013.1,6.81
2024-04-28,6.4,1.8,15.3,0.0,9.0,323.0,1019.8,8.83
2024-04-29,7.7,1.0,12.6,0.0,7.4,67.0,1015.1,7.29
2024-04-30,12.4,3.8,19.4,0.0,12.6,240.0,1009.5,12.48
2024-05-01,17.3,6.0,25.0,0.0,19.2,220.0,1008.1,19.05
2024-05-02,19.4,15.0,26.2,0.0,13.1,250.0,1010.0,12.97
2024-05-03,21.8,13.0,30.0,0.0,17.9,230.0,1012.5,17.68
2024-05-04,21.1,16.0,30.2,0.0,24.3,224.0,1010.0,24.06
2024-05-05,17.1,15.0,27.0,0.0,13.5,193.0,1009.6,13.37
2024-05-06,13.7,11.0,22.3,0.0,14.7,44.0,1009.4,14.56
2024-05-07,14.7,5.0,21.4,0.0,10.8,45.0,1017.3,10.62
